Timestamp,Timestamp (ESP32)
2025-10-07 09:02:37,2025-10-07 09:02:37
2025-10-07 09:02:42,2025-10-07 09:02:42
2025-10-07 09:02:47,2025-10-07 09:02:47
2025-10-07 09:02:52,2025-10-07 09:02:52
2025-10-07 09:02:57,2025-10-07 09:02:57
2025-10-07 09:03:02,2025-10-07 09:03:02
2025-10-07 09:03:07,2025-10-07 09:03:07
2025-10-07 09:03:13,2025-10-07 09:03:12
2025-10-07 09:03:18,2025-10-07 09:03:17
2025-10-07 09:03:23,2025-10-07 09:03:23
2025-10-07 09:03:28,2025-10-07 09:03:28
2025-10-07 09:03:33,2025-10-07 09:03:33
2025-10-07 09:03:38,2025-10-07 09:03:38
2025-10-07 09:03:43,2025-10-07 09:03:43
2025-10-07 09:03:48,2025-10-07 09:03:48
2025-10-07 09:03:53,2025-10-07 09:03:53
2025-10-07 09:03:58,2025-10-07 09:03:58
2025-10-07 09:04:03,2025-10-07 09:04:03
2025-10-07 09:04:09,2025-10-07 09:04:08
2025-10-07 09:04:14,2025-10-07 09:04:13
2025-10-07 09:04:19,2025-10-07 09:04:19
2025-10-07 09:04:24,2025-10-07 09:04:24
2025-10-07 09:04:29,2025-10-07 09:04:29
2025-10-07 09:04:34,2025-10-07 09:04:34
2025-10-07 09:04:39,2025-10-07 09:04:39
2025-10-07 09:04:44,2025-10-07 09:04:44
2025-10-07 09:04:49,2025-10-07 09:04:49
2025-10-07 09:04:54,2025-10-07 09:04:54
2025-10-07 09:04:59,2025-10-07 09:04:59
2025-10-07 09:05:05,2025-10-07 09:05:04
2025-10-07 09:05:10,2025-10-07 09:05:09
2025-10-07 09:05:15,2025-10-07 09:05:15
2025-10-07 09:05:20,2025-10-07 09:05:20
2025-10-07 09:05:25,2025-10-07 09:05:25
2025-10-07 09:05:30,2025-10-07 09:05:30
2025-10-07 09:05:35,2025-10-07 09:05:35
2025-10-07 09:05:40,2025-10-07 09:05:40
2025-10-07 09:05:45,2025-10-07 09:05:45
2025-10-07 09:05:50,2025-10-07 09:05:50
2025-10-07 09:05:52,2025-10-07 09:05:50
2025-10-07 09:05:56,2025-10-07 09:05:55
2025-10-07 09:06:00,2025-10-07 09:06:00
2025-10-07 09:06:06,2025-10-07 09:06:05
2025-10-07 09:06:11,2025-10-07 09:06:11
2025-10-07 09:06:16,2025-10-07 09:06:16
2025-10-07 09:06:21,2025-10-07 09:06:21
2025-10-07 09:06:26,2025-10-07 09:06:26
2025-10-07 09:06:31,2025-10-07 09:06:31
2025-10-07 09:06:36,2025-10-07 09:06:36
2025-10-07 09:06:41,2025-10-07 09:06:41
2025-10-07 09:06:46,2025-10-07 09:06:46
2025-10-07 09:06:51,2025-10-07 09:06:51
2025-10-07 09:06:56,2025-10-07 09:06:56
2025-10-07 09:07:02,2025-10-07 09:07:01
2025-10-07 09:07:07,2025-10-07 09:07:07
2025-10-07 09:07:12,2025-10-07 09:07:12
2025-10-07 09:07:17,2025-10-07 09:07:17
2025-10-07 09:07:22,2025-10-07 09:07:22
2025-10-07 09:07:27,2025-10-07 09:07:27
2025-10-07 09:07:32,2025-10-07 09:07:32
2025-10-07 09:07:37,2025-10-07 09:07:37
2025-10-07 09:07:42,2025-10-07 09:07:42
