Timestamp,Timestamp (ESP32)
2025-10-06 00:48:06,2025-10-06 00:48:06
2025-10-06 00:48:12,2025-10-06 00:48:11
2025-10-06 00:48:17,2025-10-06 00:48:16
2025-10-06 00:48:22,2025-10-06 00:48:21
2025-10-06 00:48:27,2025-10-06 00:48:26
2025-10-06 00:48:29,2025-10-06 00:48:26
2025-10-06 00:48:32,2025-10-06 00:48:32
2025-10-06 00:48:34,2025-10-06 00:48:32
2025-10-06 00:48:38,2025-10-06 00:48:37
2025-10-06 00:48:40,2025-10-06 00:48:37
2025-10-06 00:48:42,2025-10-06 00:48:42
2025-10-06 00:48:47,2025-10-06 00:48:47
2025-10-06 00:48:52,2025-10-06 00:48:52
2025-10-06 00:48:57,2025-10-06 00:48:57
2025-10-06 00:49:02,2025-10-06 00:49:02
2025-10-06 00:49:08,2025-10-06 00:49:07
2025-10-06 00:49:10,2025-10-06 00:49:07
2025-10-06 00:49:21,2025-10-06 00:49:12
2025-10-06 00:49:23,2025-10-06 00:49:12
2025-10-06 00:49:26,2025-10-06 00:49:22
2025-10-06 00:49:28,2025-10-06 00:49:22
2025-10-06 00:49:36,2025-10-06 00:49:28
2025-10-06 00:50:13,2025-10-06 00:49:28
2025-10-06 00:50:13,2025-10-06 00:49:43
2025-10-06 00:50:14,2025-10-06 00:50:13
2025-10-06 00:50:17,2025-10-06 00:50:03
2025-10-06 00:50:18,2025-10-06 00:49:48
2025-10-06 00:50:19,2025-10-06 00:50:19
2025-10-06 00:50:24,2025-10-06 00:50:24
2025-10-06 00:50:26,2025-10-06 00:50:24
2025-10-06 00:50:29,2025-10-06 00:50:29
2025-10-06 00:50:32,2025-10-06 00:50:29
2025-10-06 00:50:35,2025-10-06 00:50:34
2025-10-06 00:50:39,2025-10-06 00:50:39
2025-10-06 00:50:44,2025-10-06 00:50:39
2025-10-06 00:50:45,2025-10-06 00:50:44
2025-10-06 00:50:47,2025-10-06 00:50:44
2025-10-06 00:51:06,2025-10-06 00:50:49
2025-10-06 00:51:07,2025-10-06 00:50:49
2025-10-06 00:51:08,2025-10-06 00:50:49
2025-10-06 00:51:12,2025-10-06 00:51:00
2025-10-06 00:51:13,2025-10-06 00:51:00
2025-10-06 00:51:14,2025-10-06 00:51:05
2025-10-06 00:51:18,2025-10-06 00:51:18
2025-10-06 00:51:23,2025-10-06 00:51:23
2025-10-06 00:51:29,2025-10-06 00:51:28
2025-10-06 00:51:34,2025-10-06 00:51:33
2025-10-06 00:51:39,2025-10-06 00:51:38
2025-10-06 00:51:44,2025-10-06 00:51:44
2025-10-06 00:51:49,2025-10-06 00:51:49
2025-10-06 00:51:54,2025-10-06 00:51:54
2025-10-06 00:51:59,2025-10-06 00:51:59
2025-10-06 00:52:09,2025-10-06 00:51:59
2025-10-06 00:52:51,2025-10-06 00:52:09
2025-10-06 00:52:53,2025-10-06 00:52:51
2025-10-06 00:52:57,2025-10-06 00:52:46
2025-10-06 00:52:59,2025-10-06 00:52:58
2025-10-06 00:53:00,2025-10-06 00:52:58
2025-10-06 00:53:04,2025-10-06 00:53:03
2025-10-06 00:53:05,2025-10-06 00:53:03
2025-10-06 00:53:08,2025-10-06 00:53:08
2025-10-06 00:53:13,2025-10-06 00:53:13
2025-10-06 00:53:18,2025-10-06 00:53:18
2025-10-06 00:53:24,2025-10-06 00:53:23
2025-10-06 00:53:29,2025-10-06 00:53:28
2025-10-06 00:53:30,2025-10-06 00:53:28
2025-10-06 00:53:34,2025-10-06 00:53:33
2025-10-06 00:53:36,2025-10-06 00:53:33
2025-10-06 00:53:39,2025-10-06 00:53:39
2025-10-06 00:53:44,2025-10-06 00:53:44
2025-10-06 00:53:49,2025-10-06 00:53:49
2025-10-06 00:53:55,2025-10-06 00:53:54
2025-10-06 00:53:59,2025-10-06 00:53:59
2025-10-06 00:54:04,2025-10-06 00:54:04
2025-10-06 00:54:10,2025-10-06 00:54:09
2025-10-06 00:54:14,2025-10-06 00:54:14
2025-10-06 00:54:20,2025-10-06 00:54:19
2025-10-06 00:54:21,2025-10-06 00:54:19
2025-10-06 00:54:25,2025-10-06 00:54:24
2025-10-06 00:54:30,2025-10-06 00:54:29
2025-10-06 00:54:35,2025-10-06 00:54:35
2025-10-06 00:54:40,2025-10-06 00:54:40
2025-10-06 00:54:45,2025-10-06 00:54:45
2025-10-06 00:54:50,2025-10-06 00:54:50
2025-10-06 00:54:55,2025-10-06 00:54:55
2025-10-06 00:55:00,2025-10-06 00:55:00
2025-10-06 00:55:05,2025-10-06 00:55:05
2025-10-06 00:55:10,2025-10-06 00:55:10
2025-10-06 00:55:16,2025-10-06 00:55:15
2025-10-06 00:55:21,2025-10-06 00:55:20
2025-10-06 00:55:26,2025-10-06 00:55:25
2025-10-06 00:55:28,2025-10-06 00:55:25
2025-10-06 00:55:31,2025-10-06 00:55:31
2025-10-06 00:55:36,2025-10-06 00:55:36
2025-10-06 00:55:41,2025-10-06 00:55:41
2025-10-06 00:55:46,2025-10-06 00:55:46
2025-10-06 00:55:51,2025-10-06 00:55:51
2025-10-06 00:55:56,2025-10-06 00:55:56
2025-10-06 00:56:01,2025-10-06 00:56:01
2025-10-06 00:56:06,2025-10-06 00:56:06
2025-10-06 00:56:12,2025-10-06 00:56:11
2025-10-06 00:56:13,2025-10-06 00:56:11
2025-10-06 00:56:17,2025-10-06 00:56:16
2025-10-06 00:56:22,2025-10-06 00:56:21
2025-10-06 00:56:27,2025-10-06 00:56:27
2025-10-06 00:56:32,2025-10-06 00:56:32
2025-10-06 00:56:37,2025-10-06 00:56:37
2025-10-06 00:56:42,2025-10-06 00:56:42
2025-10-06 00:56:47,2025-10-06 00:56:47
2025-10-06 00:56:52,2025-10-06 00:56:52
2025-10-06 00:56:54,2025-10-06 00:56:52
2025-10-06 00:56:57,2025-10-06 00:56:57
2025-10-06 00:57:02,2025-10-06 00:57:02
2025-10-06 00:57:07,2025-10-06 00:57:07
2025-10-06 00:57:13,2025-10-06 00:57:12
2025-10-06 00:57:18,2025-10-06 00:57:17
2025-10-06 00:57:23,2025-10-06 00:57:23
2025-10-06 00:57:28,2025-10-06 00:57:28
2025-10-06 00:57:33,2025-10-06 00:57:33
2025-10-06 00:57:38,2025-10-06 00:57:38
2025-10-06 00:57:43,2025-10-06 00:57:43
2025-10-06 00:57:48,2025-10-06 00:57:48
2025-10-06 00:57:53,2025-10-06 00:57:53
2025-10-06 00:57:58,2025-10-06 00:57:58
2025-10-06 00:58:03,2025-10-06 00:58:03
2025-10-06 00:58:09,2025-10-06 00:58:08
2025-10-06 00:58:20,2025-10-06 00:58:08
2025-10-06 00:58:20,2025-10-06 00:58:08
2025-10-06 00:58:23,2025-10-06 00:58:19
2025-10-06 00:58:30,2025-10-06 00:58:24
2025-10-06 00:58:30,2025-10-06 00:58:19
2025-10-06 00:58:31,2025-10-06 00:58:24
2025-10-06 00:58:34,2025-10-06 00:58:34
2025-10-06 00:58:39,2025-10-06 00:58:39
2025-10-06 00:58:44,2025-10-06 00:58:44
2025-10-06 00:58:49,2025-10-06 00:58:49
2025-10-06 00:58:51,2025-10-06 00:58:49
2025-10-06 00:58:54,2025-10-06 00:58:54
2025-10-06 00:59:03,2025-10-06 00:58:54
2025-10-06 00:59:04,2025-10-06 00:58:54
2025-10-06 00:59:33,2025-10-06 00:59:04
2025-10-06 00:59:34,2025-10-06 00:59:04
2025-10-06 00:59:34,2025-10-06 00:59:15
2025-10-06 00:59:48,2025-10-06 00:59:41
2025-10-06 00:59:50,2025-10-06 00:59:30
2025-10-06 00:59:51,2025-10-06 00:59:35
2025-10-06 00:59:52,2025-10-06 00:59:30
2025-10-06 00:59:53,2025-10-06 00:59:53
2025-10-06 00:59:58,2025-10-06 00:59:58
2025-10-06 01:00:03,2025-10-06 01:00:03
2025-10-06 01:00:09,2025-10-06 01:00:08
2025-10-06 01:00:14,2025-10-06 01:00:13
2025-10-06 01:00:19,2025-10-06 01:00:19
2025-10-06 01:00:24,2025-10-06 01:00:24
2025-10-06 01:00:29,2025-10-06 01:00:29
2025-10-06 01:00:34,2025-10-06 01:00:34
2025-10-06 01:00:39,2025-10-06 01:00:39
2025-10-06 01:00:44,2025-10-06 01:00:44
2025-10-06 01:00:49,2025-10-06 01:00:49
2025-10-06 01:00:54,2025-10-06 01:00:54
2025-10-06 01:00:59,2025-10-06 01:00:59
2025-10-06 01:01:05,2025-10-06 01:01:04
2025-10-06 01:01:10,2025-10-06 01:01:09
2025-10-06 01:01:15,2025-10-06 01:01:15
2025-10-06 01:01:20,2025-10-06 01:01:20
2025-10-06 01:01:25,2025-10-06 01:01:25
2025-10-06 01:01:30,2025-10-06 01:01:30
2025-10-06 01:01:35,2025-10-06 01:01:35
2025-10-06 01:01:40,2025-10-06 01:01:40
2025-10-06 01:01:45,2025-10-06 01:01:45
2025-10-06 01:01:50,2025-10-06 01:01:50
2025-10-06 01:01:55,2025-10-06 01:01:55
2025-10-06 01:02:00,2025-10-06 01:02:00
