Timestamp,Timestamp (ESP32)
2025-10-04 12:36:46,2025-10-04 12:36:46
2025-10-04 12:36:51,2025-10-04 12:36:51
2025-10-04 12:36:56,2025-10-04 12:36:56
2025-10-04 12:37:01,2025-10-04 12:37:01
2025-10-04 12:37:07,2025-10-04 12:37:06
2025-10-04 12:37:12,2025-10-04 12:37:12
2025-10-04 12:37:17,2025-10-04 12:37:17
2025-10-04 12:37:22,2025-10-04 12:37:22
2025-10-04 12:37:27,2025-10-04 12:37:27
2025-10-04 12:37:32,2025-10-04 12:37:32
2025-10-04 12:37:37,2025-10-04 12:37:37
2025-10-04 12:38:03,2025-10-04 12:38:03
2025-10-04 12:38:25,2025-10-04 12:38:24
2025-10-04 12:38:30,2025-10-04 12:38:29
2025-10-04 12:38:35,2025-10-04 12:38:34
2025-10-04 12:38:40,2025-10-04 12:38:40
2025-10-04 12:38:45,2025-10-04 12:38:45
2025-10-04 12:38:50,2025-10-04 12:38:50
2025-10-04 12:38:55,2025-10-04 12:38:55
2025-10-04 12:39:00,2025-10-04 12:39:00
2025-10-04 12:39:05,2025-10-04 12:39:05
2025-10-04 12:39:10,2025-10-04 12:39:10
2025-10-04 12:39:16,2025-10-04 12:39:15
2025-10-04 12:39:21,2025-10-04 12:39:20
2025-10-04 12:39:26,2025-10-04 12:39:25
2025-10-04 12:39:31,2025-10-04 12:39:30
2025-10-04 12:39:36,2025-10-04 12:39:36
2025-10-04 12:39:41,2025-10-04 12:39:41
2025-10-04 12:39:46,2025-10-04 12:39:46
2025-10-04 12:39:51,2025-10-04 12:39:51
2025-10-04 12:39:56,2025-10-04 12:39:56
2025-10-04 12:40:01,2025-10-04 12:40:01
2025-10-04 12:40:07,2025-10-04 12:40:06
2025-10-04 12:40:11,2025-10-04 12:40:11
2025-10-04 12:40:13,2025-10-04 12:40:11
2025-10-04 12:40:17,2025-10-04 12:40:16
2025-10-04 12:40:22,2025-10-04 12:40:21
2025-10-04 12:40:27,2025-10-04 12:40:26
2025-10-04 12:40:32,2025-10-04 12:40:32
2025-10-04 12:40:37,2025-10-04 12:40:37
2025-10-04 12:40:42,2025-10-04 12:40:42
2025-10-04 12:40:44,2025-10-04 12:40:42
2025-10-04 12:40:47,2025-10-04 12:40:47
2025-10-04 12:40:52,2025-10-04 12:40:52
2025-10-04 12:40:54,2025-10-04 12:40:52
2025-10-04 12:40:57,2025-10-04 12:40:57
2025-10-04 12:41:02,2025-10-04 12:41:02
2025-10-04 12:41:07,2025-10-04 12:41:07
2025-10-04 12:41:13,2025-10-04 12:41:12
2025-10-04 12:41:14,2025-10-04 12:41:12
2025-10-04 12:41:18,2025-10-04 12:41:17
2025-10-04 12:41:23,2025-10-04 12:41:22
2025-10-04 12:41:28,2025-10-04 12:41:28
2025-10-04 12:41:33,2025-10-04 12:41:33
2025-10-04 12:41:38,2025-10-04 12:41:38
2025-10-04 12:41:43,2025-10-04 12:41:43
2025-10-04 12:41:48,2025-10-04 12:41:48
2025-10-04 12:41:53,2025-10-04 12:41:53
2025-10-04 12:41:58,2025-10-04 12:41:58
2025-10-04 12:42:03,2025-10-04 12:42:03
2025-10-04 12:42:09,2025-10-04 12:42:08
2025-10-04 12:42:14,2025-10-04 12:42:13
2025-10-04 12:42:19,2025-10-04 12:42:18
2025-10-04 12:42:24,2025-10-04 12:42:24
2025-10-04 12:42:29,2025-10-04 12:42:29
2025-10-04 12:42:34,2025-10-04 12:42:34
2025-10-04 12:42:39,2025-10-04 12:42:39
2025-10-04 12:42:44,2025-10-04 12:42:44
2025-10-04 12:42:49,2025-10-04 12:42:49
2025-10-04 12:42:54,2025-10-04 12:42:54
2025-10-04 12:42:59,2025-10-04 12:42:59
2025-10-04 12:43:05,2025-10-04 12:43:04
2025-10-04 12:43:10,2025-10-04 12:43:09
2025-10-04 12:43:15,2025-10-04 12:43:14
2025-10-04 12:43:20,2025-10-04 12:43:20
2025-10-04 12:43:25,2025-10-04 12:43:25
2025-10-04 12:43:30,2025-10-04 12:43:30
2025-10-04 12:43:35,2025-10-04 12:43:35
2025-10-04 12:43:40,2025-10-04 12:43:40
2025-10-04 12:43:45,2025-10-04 12:43:45
2025-10-04 12:43:50,2025-10-04 12:43:50
2025-10-04 12:43:55,2025-10-04 12:43:55
2025-10-04 12:44:01,2025-10-04 12:44:00
2025-10-04 12:44:06,2025-10-04 12:44:05
2025-10-04 12:44:11,2025-10-04 12:44:10
2025-10-04 12:44:16,2025-10-04 12:44:16
2025-10-04 12:44:21,2025-10-04 12:44:21
2025-10-04 12:44:26,2025-10-04 12:44:26
2025-10-04 12:44:31,2025-10-04 12:44:31
2025-10-04 12:44:36,2025-10-04 12:44:36
2025-10-04 12:44:41,2025-10-04 12:44:41
2025-10-04 12:44:46,2025-10-04 12:44:46
2025-10-04 12:44:51,2025-10-04 12:44:51
2025-10-04 12:44:57,2025-10-04 12:44:56
2025-10-04 12:45:02,2025-10-04 12:45:01
2025-10-04 12:45:03,2025-10-04 12:45:01
2025-10-04 12:45:07,2025-10-04 12:45:06
2025-10-04 12:45:12,2025-10-04 12:45:12
2025-10-04 12:45:17,2025-10-04 12:45:17
2025-10-04 12:45:22,2025-10-04 12:45:22
2025-10-04 12:45:27,2025-10-04 12:45:27
2025-10-04 12:45:32,2025-10-04 12:45:32
2025-10-04 12:45:37,2025-10-04 12:45:37
2025-10-04 12:45:42,2025-10-04 12:45:42
2025-10-04 12:45:47,2025-10-04 12:45:47
2025-10-04 12:45:53,2025-10-04 12:45:52
2025-10-04 12:45:58,2025-10-04 12:45:57
2025-10-04 12:46:00,2025-10-04 12:45:57
2025-10-04 12:46:03,2025-10-04 12:46:02
2025-10-04 12:46:08,2025-10-04 12:46:07
2025-10-04 12:46:13,2025-10-04 12:46:13
2025-10-04 12:46:18,2025-10-04 12:46:18
2025-10-04 12:46:23,2025-10-04 12:46:23
2025-10-04 12:46:28,2025-10-04 12:46:28
2025-10-04 12:46:33,2025-10-04 12:46:33
2025-10-04 12:46:38,2025-10-04 12:46:38
2025-10-04 12:46:43,2025-10-04 12:46:43
2025-10-04 12:46:49,2025-10-04 12:46:48
2025-10-04 12:46:54,2025-10-04 12:46:53
2025-10-04 12:46:59,2025-10-04 12:46:58
2025-10-04 12:47:04,2025-10-04 12:47:03
2025-10-04 12:47:09,2025-10-04 12:47:09
2025-10-04 12:47:14,2025-10-04 12:47:14
2025-10-04 12:47:19,2025-10-04 12:47:19
2025-10-04 12:47:24,2025-10-04 12:47:24
2025-10-04 12:47:29,2025-10-04 12:47:29
2025-10-04 12:47:34,2025-10-04 12:47:34
2025-10-04 12:47:39,2025-10-04 12:47:39
2025-10-04 12:47:44,2025-10-04 12:47:44
2025-10-04 12:47:50,2025-10-04 12:47:49
2025-10-04 12:47:55,2025-10-04 12:47:54
2025-10-04 12:48:00,2025-10-04 12:47:59
2025-10-04 12:48:05,2025-10-04 12:48:05
2025-10-04 12:48:10,2025-10-04 12:48:10
2025-10-04 12:48:15,2025-10-04 12:48:15
2025-10-04 12:48:20,2025-10-04 12:48:20
2025-10-04 12:48:25,2025-10-04 12:48:25
2025-10-04 12:48:30,2025-10-04 12:48:30
2025-10-04 12:48:35,2025-10-04 12:48:35
2025-10-04 12:48:40,2025-10-04 12:48:40
2025-10-04 12:48:46,2025-10-04 12:48:45
2025-10-04 12:48:51,2025-10-04 12:48:50
2025-10-04 12:48:56,2025-10-04 12:48:55
2025-10-04 12:49:01,2025-10-04 12:49:01
2025-10-04 12:49:06,2025-10-04 12:49:06
2025-10-04 12:49:11,2025-10-04 12:49:11
2025-10-04 12:49:16,2025-10-04 12:49:16
2025-10-04 12:49:21,2025-10-04 12:49:21
2025-10-04 12:49:26,2025-10-04 12:49:26
2025-10-04 12:49:31,2025-10-04 12:49:31
2025-10-04 12:49:36,2025-10-04 12:49:36
2025-10-04 12:49:42,2025-10-04 12:49:41
2025-10-04 12:49:47,2025-10-04 12:49:46
2025-10-04 12:49:48,2025-10-04 12:49:46
2025-10-04 12:49:52,2025-10-04 12:49:51
2025-10-04 12:49:56,2025-10-04 12:49:51
2025-10-04 12:49:57,2025-10-04 12:49:57
2025-10-04 12:50:02,2025-10-04 12:50:02
2025-10-04 12:50:04,2025-10-04 12:50:02
2025-10-04 12:50:07,2025-10-04 12:50:07
2025-10-04 12:50:12,2025-10-04 12:50:12
2025-10-04 12:50:17,2025-10-04 12:50:17
2025-10-04 12:50:22,2025-10-04 12:50:22
2025-10-04 12:50:27,2025-10-04 12:50:27
2025-10-04 12:50:32,2025-10-04 12:50:32
2025-10-04 12:50:38,2025-10-04 12:50:37
2025-10-04 12:50:43,2025-10-04 12:50:42
2025-10-04 12:50:48,2025-10-04 12:50:47
2025-10-04 12:50:53,2025-10-04 12:50:53
2025-10-04 12:50:58,2025-10-04 12:50:58
2025-10-04 12:51:03,2025-10-04 12:51:03
2025-10-04 12:51:08,2025-10-04 12:51:08
2025-10-04 12:51:13,2025-10-04 12:51:13
2025-10-04 12:51:18,2025-10-04 12:51:18
2025-10-04 12:51:23,2025-10-04 12:51:23
2025-10-04 12:51:28,2025-10-04 12:51:28
2025-10-04 12:51:34,2025-10-04 12:51:33
2025-10-04 12:51:39,2025-10-04 12:51:38
2025-10-04 12:51:44,2025-10-04 12:51:43
2025-10-04 12:51:49,2025-10-04 12:51:49
2025-10-04 12:51:54,2025-10-04 12:51:54
2025-10-04 12:51:59,2025-10-04 12:51:59
2025-10-04 12:52:04,2025-10-04 12:52:04
2025-10-04 12:52:09,2025-10-04 12:52:09
2025-10-04 12:52:14,2025-10-04 12:52:14
2025-10-04 12:52:19,2025-10-04 12:52:19
2025-10-04 12:52:24,2025-10-04 12:52:24
2025-10-04 12:52:30,2025-10-04 12:52:29
2025-10-04 12:52:35,2025-10-04 12:52:34
2025-10-04 12:52:40,2025-10-04 12:52:39
2025-10-04 12:52:45,2025-10-04 12:52:45
2025-10-04 12:52:50,2025-10-04 12:52:50
2025-10-04 12:52:55,2025-10-04 12:52:55
2025-10-04 12:53:00,2025-10-04 12:53:00
2025-10-04 12:53:05,2025-10-04 12:53:05
2025-10-04 12:53:10,2025-10-04 12:53:10
2025-10-04 12:53:15,2025-10-04 12:53:15
2025-10-04 12:53:20,2025-10-04 12:53:20
2025-10-04 12:53:26,2025-10-04 12:53:25
2025-10-04 12:53:31,2025-10-04 12:53:30
2025-10-04 12:53:36,2025-10-04 12:53:35
2025-10-04 12:53:41,2025-10-04 12:53:41
2025-10-04 12:53:46,2025-10-04 12:53:46
2025-10-04 12:53:51,2025-10-04 12:53:51
2025-10-04 12:53:56,2025-10-04 12:53:56
2025-10-04 12:54:01,2025-10-04 12:54:01
2025-10-04 12:54:06,2025-10-04 12:54:06
2025-10-04 12:54:11,2025-10-04 12:54:11
2025-10-04 12:54:16,2025-10-04 12:54:16
2025-10-04 12:54:22,2025-10-04 12:54:21
2025-10-04 12:54:27,2025-10-04 12:54:26
2025-10-04 12:54:32,2025-10-04 12:54:31
2025-10-04 12:54:37,2025-10-04 12:54:36
2025-10-04 12:54:42,2025-10-04 12:54:42
2025-10-04 12:54:47,2025-10-04 12:54:47
2025-10-04 12:54:52,2025-10-04 12:54:52
2025-10-04 12:54:57,2025-10-04 12:54:57
2025-10-04 12:55:02,2025-10-04 12:55:02
2025-10-04 12:55:07,2025-10-04 12:55:07
2025-10-04 12:55:12,2025-10-04 12:55:12
2025-10-04 12:55:17,2025-10-04 12:55:17
2025-10-04 12:55:23,2025-10-04 12:55:22
2025-10-04 12:55:28,2025-10-04 12:55:27
2025-10-04 12:55:33,2025-10-04 12:55:32
2025-10-04 12:55:38,2025-10-04 12:55:38
2025-10-04 12:55:43,2025-10-04 12:55:43
2025-10-04 12:55:48,2025-10-04 12:55:48
2025-10-04 12:55:53,2025-10-04 12:55:53
2025-10-04 12:55:55,2025-10-04 12:55:53
2025-10-04 12:56:00,2025-10-04 12:55:58
2025-10-04 12:56:03,2025-10-04 12:56:03
2025-10-04 12:56:08,2025-10-04 12:56:08
2025-10-04 12:56:13,2025-10-04 12:56:13
2025-10-04 12:56:19,2025-10-04 12:56:18
2025-10-04 12:56:24,2025-10-04 12:56:23
2025-10-04 12:56:29,2025-10-04 12:56:28
2025-10-04 12:56:34,2025-10-04 12:56:34
2025-10-04 12:56:39,2025-10-04 12:56:39
2025-10-04 12:56:44,2025-10-04 12:56:44
2025-10-04 12:56:49,2025-10-04 12:56:49
2025-10-04 12:56:54,2025-10-04 12:56:54
2025-10-04 12:56:59,2025-10-04 12:56:59
2025-10-04 12:57:04,2025-10-04 12:57:04
2025-10-04 12:57:09,2025-10-04 12:57:09
2025-10-04 12:57:15,2025-10-04 12:57:14
2025-10-04 12:57:18,2025-10-04 12:57:14
2025-10-04 12:57:20,2025-10-04 12:57:19
2025-10-04 12:57:25,2025-10-04 12:57:24
2025-10-04 12:57:30,2025-10-04 12:57:30
2025-10-04 12:57:35,2025-10-04 12:57:35
2025-10-04 12:57:40,2025-10-04 12:57:40
2025-10-04 12:57:45,2025-10-04 12:57:45
2025-10-04 12:57:50,2025-10-04 12:57:50
2025-10-04 12:57:55,2025-10-04 12:57:55
2025-10-04 12:58:00,2025-10-04 12:58:00
2025-10-04 12:58:05,2025-10-04 12:58:05
2025-10-04 12:58:11,2025-10-04 12:58:10
2025-10-04 12:58:16,2025-10-04 12:58:15
2025-10-04 12:58:21,2025-10-04 12:58:20
2025-10-04 12:58:26,2025-10-04 12:58:26
2025-10-04 12:58:31,2025-10-04 12:58:31
2025-10-04 12:58:36,2025-10-04 12:58:36
2025-10-04 12:58:41,2025-10-04 12:58:41
2025-10-04 12:58:46,2025-10-04 12:58:46
2025-10-04 12:58:51,2025-10-04 12:58:51
2025-10-04 12:58:56,2025-10-04 12:58:56
2025-10-04 12:59:01,2025-10-04 12:59:01
2025-10-04 12:59:07,2025-10-04 12:59:06
2025-10-04 12:59:12,2025-10-04 12:59:11
2025-10-04 12:59:17,2025-10-04 12:59:16
2025-10-04 12:59:22,2025-10-04 12:59:22
2025-10-04 12:59:27,2025-10-04 12:59:27
2025-10-04 12:59:32,2025-10-04 12:59:32
2025-10-04 12:59:37,2025-10-04 12:59:37
2025-10-04 12:59:42,2025-10-04 12:59:42
2025-10-04 12:59:47,2025-10-04 12:59:47
2025-10-04 12:59:52,2025-10-04 12:59:52
2025-10-04 12:59:57,2025-10-04 12:59:57
2025-10-04 13:00:03,2025-10-04 13:00:02
2025-10-04 13:00:08,2025-10-04 13:00:07
2025-10-04 13:00:13,2025-10-04 13:00:12
2025-10-04 13:00:18,2025-10-04 13:00:18
2025-10-04 13:00:23,2025-10-04 13:00:23
2025-10-04 13:00:28,2025-10-04 13:00:28
