Timestamp,Timestamp (ESP32)
2025-10-11 00:00:01,2025-10-11 00:00:01
2025-10-11 00:00:06,2025-10-11 00:00:06
2025-10-11 00:00:08,2025-10-11 00:00:06
2025-10-11 00:00:11,2025-10-11 00:00:11
2025-10-11 00:00:19,2025-10-11 00:00:16
2025-10-11 00:00:19,2025-10-11 00:00:16
2025-10-11 00:00:21,2025-10-11 00:00:21
2025-10-11 00:00:28,2025-10-11 00:00:26
2025-10-11 00:00:28,2025-10-11 00:00:26
2025-10-11 00:00:31,2025-10-11 00:00:31
2025-10-11 00:00:37,2025-10-11 00:00:36
2025-10-11 00:00:42,2025-10-11 00:00:41
2025-10-11 00:00:47,2025-10-11 00:00:47
2025-10-11 00:00:52,2025-10-11 00:00:52
2025-10-11 00:00:57,2025-10-11 00:00:57
2025-10-11 00:01:02,2025-10-11 00:01:02
2025-10-11 00:01:07,2025-10-11 00:01:07
2025-10-11 00:01:12,2025-10-11 00:01:12
2025-10-11 00:01:17,2025-10-11 00:01:17
2025-10-11 00:01:22,2025-10-11 00:01:22
2025-10-11 00:01:27,2025-10-11 00:01:27
2025-10-11 00:01:32,2025-10-11 00:01:32
2025-10-11 00:01:38,2025-10-11 00:01:37
2025-10-11 00:01:43,2025-10-11 00:01:43
2025-10-11 00:01:48,2025-10-11 00:01:48
2025-10-11 00:01:53,2025-10-11 00:01:53
2025-10-11 00:01:58,2025-10-11 00:01:58
2025-10-11 00:02:03,2025-10-11 00:02:03
2025-10-11 00:02:08,2025-10-11 00:02:08
2025-10-11 00:02:13,2025-10-11 00:02:13
2025-10-11 00:02:18,2025-10-11 00:02:18
2025-10-11 00:02:23,2025-10-11 00:02:23
2025-10-11 00:02:28,2025-10-11 00:02:28
2025-10-11 00:02:34,2025-10-11 00:02:33
2025-10-11 00:02:39,2025-10-11 00:02:39
2025-10-11 00:02:44,2025-10-11 00:02:44
2025-10-11 00:02:49,2025-10-11 00:02:49
2025-10-11 00:02:54,2025-10-11 00:02:54
2025-10-11 00:02:59,2025-10-11 00:02:59
2025-10-11 00:03:06,2025-10-11 00:03:04
2025-10-11 00:03:06,2025-10-11 00:03:04
2025-10-11 00:03:09,2025-10-11 00:03:09
2025-10-11 00:03:16,2025-10-11 00:03:14
2025-10-11 00:03:16,2025-10-11 00:03:14
2025-10-11 00:03:19,2025-10-11 00:03:19
2025-10-11 00:03:24,2025-10-11 00:03:24
2025-10-11 00:03:30,2025-10-11 00:03:29
2025-10-11 00:03:35,2025-10-11 00:03:35
2025-10-11 00:03:40,2025-10-11 00:03:40
2025-10-11 00:03:45,2025-10-11 00:03:45
2025-10-11 00:03:50,2025-10-11 00:03:50
2025-10-11 00:03:55,2025-10-11 00:03:55
2025-10-11 00:04:02,2025-10-11 00:04:00
2025-10-11 00:04:02,2025-10-11 00:04:00
2025-10-11 00:04:05,2025-10-11 00:04:05
2025-10-11 00:04:10,2025-10-11 00:04:10
2025-10-11 00:04:15,2025-10-11 00:04:15
2025-10-11 00:04:20,2025-10-11 00:04:20
2025-10-11 00:04:26,2025-10-11 00:04:25
2025-10-11 00:04:31,2025-10-11 00:04:31
2025-10-11 00:04:36,2025-10-11 00:04:36
2025-10-11 00:04:41,2025-10-11 00:04:41
2025-10-11 00:04:46,2025-10-11 00:04:46
2025-10-11 00:04:51,2025-10-11 00:04:51
2025-10-11 00:04:56,2025-10-11 00:04:56
2025-10-11 00:05:01,2025-10-11 00:05:01
2025-10-11 00:05:06,2025-10-11 00:05:06
2025-10-11 00:05:11,2025-10-11 00:05:11
2025-10-11 00:05:16,2025-10-11 00:05:16
2025-10-11 00:05:22,2025-10-11 00:05:21
2025-10-11 00:05:27,2025-10-11 00:05:27
2025-10-11 00:05:32,2025-10-11 00:05:32
2025-10-11 00:05:37,2025-10-11 00:05:37
2025-10-11 00:05:42,2025-10-11 00:05:42
2025-10-11 00:05:47,2025-10-11 00:05:47
2025-10-11 00:05:52,2025-10-11 00:05:52
2025-10-11 00:05:57,2025-10-11 00:05:57
2025-10-11 00:06:02,2025-10-11 00:06:02
2025-10-11 00:06:07,2025-10-11 00:06:07
2025-10-11 00:06:12,2025-10-11 00:06:12
2025-10-11 00:06:18,2025-10-11 00:06:17
2025-10-11 00:06:23,2025-10-11 00:06:22
2025-10-11 00:06:28,2025-10-11 00:06:28
2025-10-11 00:06:33,2025-10-11 00:06:33
2025-10-11 00:06:38,2025-10-11 00:06:38
2025-10-11 00:06:43,2025-10-11 00:06:43
2025-10-11 00:06:48,2025-10-11 00:06:48
2025-10-11 00:06:53,2025-10-11 00:06:53
2025-10-11 00:07:05,2025-10-11 00:06:58
2025-10-11 00:07:06,2025-10-11 00:06:58
2025-10-11 00:07:06,2025-10-11 00:06:58
2025-10-11 00:07:06,2025-10-11 00:06:58
2025-10-11 00:07:08,2025-10-11 00:07:08
2025-10-11 00:07:14,2025-10-11 00:07:13
2025-10-11 00:07:20,2025-10-11 00:07:18
2025-10-11 00:07:21,2025-10-11 00:07:18
2025-10-11 00:07:24,2025-10-11 00:07:24
2025-10-11 00:07:29,2025-10-11 00:07:29
2025-10-11 00:07:34,2025-10-11 00:07:34
